id,aff,type
ARIZONA REPUBLICAN PARTY,REP,COM
2004 JOINT STATE VICTORY COMMITTEE,REP,COM
ARKANSAS LEADERSHIP COMMITTEE 2004 FCRC,REP,COM
MICHIGAN REPUBLICAN STATE COMMITTEE,REP,COM
MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,REP,COM
NEVADA REPUBLICAN STATE CENTRAL COMMITTEE,REP,COM
OHIO STATE CENTRAL & EXECUTIVE COMMITTEE,REP,COM
OHIO VICTORY COMMITTEE,REP,COM
OREGON REPUBLICAN PARTY,REP,COM
REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,REP,COM
REPUBLICAN PARTY OF FLORIDA,REP,COM
REPUBLICAN PARTY OF IOWA,REP,COM
REPUBLICAN PARTY OF MINNESOTA,REP,COM
REPUBLICAN PARTY OF WISCONSIN,REP,COM
WASHINGTON STATE REPUBLICAN PARTY,REP,COM
WV REPUBLICAN STATE EXEC COMMITTEE,REP,COM
"DEAN, HOWARD",DEM,CAN
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES - P E O P L E, QUALIFIED",UNK,COM
"KERRY, JOHN F",DEM,CAN
NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,UNK,COM
"""CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE/FEDERAL (CREPAC/FEDERAL) AKA """"99 CLUB""""""",UNK,COM
DEFENDERS OF WILDLIFE ACTION FUND,UNK,COM
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,DEM,COM
EDWARDS FOR PRESIDENT,DEM,COM
EDWARDS FOR SENATE,DEM,COM
ENVIRONMENT2004 INC PAC,UNK,COM
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,DEM,COM
FRIENDS FOR HARRY REID,DEM,COM
NEVADA STATE DEMOCRATIC PARTY,DEM,COM
FRIENDS OF JOHN KERRY,DEM,COM
FRIENDS OF ROY BLUNT,REP,COM
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,REP,COM
FRIENDS OF SCHUMER,DEM,COM
GEORGIANS FOR ISAKSON,REP,COM
HASTERT FOR CONGRESS COMMITTEE,REP,COM
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,COM
HOYER FOR CONGRESS,DEM,COM
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,UNK,COM
DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,DEM,COM
"JOHN KERRY FOR PRESIDENT, INC",DEM,COM
DEMOCRATIC PARTY OF WISCONSIN FEDERAL ACCOUNT,DEM,COM
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE/FED ACCT,DEM,COM
PENNSYLVANIA DEMOCRATIC PARTY,DEM,COM
KERRY VICTORY 2004,DEM,COM
LEWIS FOR CONGRESS COMMITTEE,REP,COM
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM,COM
MENENDEZ FOR CONGRESS,DEM,COM
MISSOURIANS FOR KIT BOND,REP,COM
MOVEON PAC,UNK,COM
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION POLITICAL ACTION COMMITTEE (AKA NATCA PAC),UNK,COM
"BUSH, GEORGE W",REP,CAN
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,UNK,COM
NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,UNK,COM
NRA POLITICAL VICTORY FUND,UNK,COM
REPUBLICAN NATIONAL COMMITTEE,REP,COM
RICHARD BURR COMMITTEE,UNK,COM
"RICHARD BURR COMMITTEE, THE",REP,COM
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE),UNK,COM
STEPHEN ADAMS,UNK,COM
TAKE BACK AMERICA SERVICE EMPLOYEES INTERNATIONAL UNION,UNK,COM
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),UNK,COM