from_name,to_name,amt
1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,"OBAMA, BARACK",16
ADVANCING WISCONSIN INC,"OBAMA, BARACK",5
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,"CLINTON, HILLARY RODHAM",7
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,"OBAMA, BARACK",15
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION","CLINTON, HILLARY RODHAM",6
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION","OBAMA, BARACK",6
AMERICAN ISSUES PROJECT INC,"MCCAIN, JOHN S.",9
BARNEY FRANK FOR CONGRESS COMMITTEE,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2
BECERRA FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,1
BILL NELSON FOR U S SENATE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,1
CITIZENS FOR HARKIN,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
DAVE CAMP FOR CONGRESS 2010,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,"OBAMA, BARACK",25
DREIER FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,3
Defenders of Willdife Action Fund,"OBAMA, BARACK",2
EMILY'S LIST,"CLINTON, HILLARY RODHAM",4
FEINSTEIN FOR SENATE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
FRIENDS OF CONGRESSMAN GEORGE MILLER,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,1
FRIENDS OF DICK DURBIN COMMITTEE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,5
FRIENDS OF JAY ROCKEFELLER,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
FRIENDS OF JIM CLYBURN,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,3
FRIENDS OF JIM SAXTON,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
FRIENDS OF JOHN BOEHNER,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,5
FRIENDS OF MARK WARNER,DEMOCRATIC PARTY OF VIRGINIA,1
FRIENDS OF MARK WARNER,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
FRIENDS OF MAX BAUCUS,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,5
FRIENDS OF RAHM EMANUEL,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,3
FRIENDS OF ROY BLUNT,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,1
FRIENDS OF SENATOR CARL LEVIN,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
HILLARY CLINTON FOR PRESIDENT,FRIENDS OF HILLARY,21
HOYER FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,4
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,"DODD, CHRISTOPHER J",1
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,"OBAMA, BARACK",2
JOHN KERRY FOR SENATE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,5
KENNEDY FOR SENATE 2012,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
LEGACY COMMITTEE POLITICAL ACTION COMMITTEE; THE,"MCCAIN, JOHN S.",2
LIFE AND LIBERTY PAC INC,"CLINTON, HILLARY RODHAM",2
LIFE AND LIBERTY PAC INC,"MCCAIN, JOHN S.",2
LINDA STENDER FOR CONGRESS,NEW JERSEY DEMOCRATIC STATE COMMITTEE,1
Let Freedom Ring,"MCCAIN, JOHN S.",10
MARK PRYOR FOR US SENATE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
MCCRERY FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
MORAN FOR KANSAS,MORAN FOR KANSAS,8
MOVEON.ORG POLITICAL ACTION,"OBAMA, BARACK",20
NANCY PELOSI FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,3
NARAL Pro-Choice America,"OBAMA, BARACK",1
NATIONAL CAMPAIGN FUND,"MCCAIN, JOHN S.",3
"NATIONAL REPUBLICAN TRUST PAC, THE","MCCAIN, JOHN S.",27
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,"MCCAIN, JOHN S.",46
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,"MCCAIN, JOHN S.",6
NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,3
NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE,REPUBLICAN NATIONAL COMMITTEE,2
OUR COUNTRY DESERVES BETTER PAC,"MCCAIN, JOHN S.",14
PEARCE FOR CONGRESS,PEOPLE FOR PEARCE,1
PROGRESSIVE FUTURE INCORPORATED,"OBAMA, BARACK",6
PUTNAM FOR CONGRESS,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
RANGEL FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,4
REPUBLICAN MAJORITY CAMPAIGN,"CLINTON, HILLARY RODHAM",1
REPUBLICAN MAJORITY CAMPAIGN,"MCCAIN, JOHN S.",8
REPUBLICAN NATIONAL COMMITTEE,"MCCAIN, JOHN S.",243
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE),"OBAMA, BARACK",108
TEXANS FOR SENATOR JOHN CORNYN INC,REPUBLICAN PARTY OF TEXAS,1
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),"OBAMA, BARACK",14
UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APP,"OBAMA, BARACK",2
UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,"OBAMA, BARACK",2
VAN HOLLEN FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2
WALLY HERGER FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
